station,year,month,day,daily_rainfall_total_(mm),highest_30_min_rainfall_(mm),highest_60_min_rainfall_(mm),highest_120_min_rainfall_(mm),mean_temperature_(°c),maximum_temperature_(°c),minimum_temperature_(°c),mean_wind_speed_(km/h),max_wind_speed_(km/h),weather_condition,relative_humidity_(%)
Changi,2021,11,11,1.0,0.4,0.6,0.8,27.6,32.0,24.6,7.7,29.6,Rain,80.14690327070285
Changi,2021,11,12,1.4,0.8,1.0,1.2,28.1,33.4,23.6,6.9,33.3,Rain,77.80034794711203
Changi,2021,11,13,1.0,0.8,0.8,0.8,26.9,29.0,24.2,6.1,38.9,Rain,83.03556019485039
Changi,2021,11,14,0.0,0.0,0.0,0.0,28.7,32.9,26.1,5.3,24.1,No Rain,76.92066805845512
Changi,2021,11,15,1.4,0.8,1.0,1.2,27.4,31.3,26.0,6.3,27.8,Rain,85.9597077244259
Changi,2021,11,16,0.0,0.0,0.0,0.0,28.6,33.2,25.4,8.6,29.6,No Rain,78.03075852470424
Changi,2021,11,17,0.8,0.8,0.8,0.8,28.5,32.6,26.1,6.3,37,Rain,80.28959497206702
Changi,2021,11,18,46.4,20.2,39.0,46.4,27.4,30.9,23.4,4.3,27.8,Rain,82.33702157272094
Changi,2021,11,19,0.2,0.2,0.2,0.2,28.1,32.1,25.7,5.1,31.5,Rain,78.58803061934586
Changi,2021,11,20,6.8,3.4,5.0,5.4,26.9,29.4,23.9,5.0,29.6,Rain,84.707167710508
Changi,2021,11,21,12.8,10.2,10.8,11.6,27.3,32.8,24.4,4.7,44.4,Rain,86.28495821727019
Changi,2021,11,22,2.8,2.2,2.4,2.8,28.0,31.9,24.9,5.3,20.4,Rain,81.1205288796103
Changi,2021,11,23,7.4,4.6,6.6,7.2,26.9,31.7,25.0,4.9,27.8,Rain,84.77209464161447
Changi,2021,11,24,32.2,19.0,24.0,28.2,25.6,27.5,23.0,3.5,24.1,Rain,89.91273486430063
Changi,2021,11,25,0.0,0.0,0.0,0.0,27.9,32.8,24.4,5.6,20.4,No Rain,79.37710508002783
Changi,2021,11,26,0.0,0.0,0.0,0.0,28.4,32.6,25.2,7.2,31.5,No Rain,74.41586638830898
Changi,2021,11,27,47.8,31.0,39.8,45.8,27.7,33.0,22.8,6.3,44.4,Rain,78.4366040361865
Changi,2021,11,28,0.0,0.0,0.0,0.0,28.6,32.5,25.4,5.4,25.9,No Rain,75.64286708420319
Changi,2021,11,29,0.0,0.0,0.0,0.0,29.9,33.9,26.9,7.6,33.3,No Rain,65.78420320111343
Changi,2021,11,30,0.0,0.0,0.0,0.0,29.8,33.9,26.1,6.3,33.3,No Rain,66.59387613082811
Changi,2021,12,1,0.2,0.2,0.2,0.2,29.6,33.9,26.6,8.3,24.1,Rain,69.87494780793318
Changi,2021,12,2,14.2,5.8,9.6,12.6,26.2,28.6,22.9,6.1,40.7,Rain,86.85062674094708
Changi,2021,12,3,0.2,0.2,0.2,0.2,27.2,32.0,24.8,6.8,27.8,Rain,77.92498260264439
Changi,2021,12,4,0.0,0.0,0.0,0.0,27.5,31.2,25.5,9.0,38.9,No Rain,78.17000695894224
Changi,2021,12,5,0.0,0.0,0.0,0.0,27.3,30.7,26.0,8.5,35.2,No Rain,79.65877437325905
Changi,2021,12,6,0.0,0.0,0.0,0.0,27.8,31.5,25.9,8.6,31.5,No Rain,73.79832985386223
Changi,2021,12,7,0.0,0.0,0.0,0.0,28.1,31.8,25.7,10.9,38.9,No Rain,75.64572025052192
Changi,2021,12,8,0.0,0.0,0.0,0.0,28.0,31.2,25.9,11.8,44.4,No Rain,76.9839944328462
Changi,2021,12,9,0.0,0.0,0.0,0.0,28.2,32.0,25.6,11.7,37,No Rain,74.76875434933889
Changi,2021,12,10,6.4,4.0,5.0,6.0,27.4,31.9,25.1,8.9,35.2,Rain,82.15163535142659
Changi,2021,12,11,8.2,4.2,6.4,6.6,27.0,31.2,25.5,7.6,31.5,Rain,86.32736768802229
Changi,2021,12,12,0.0,0.0,0.0,0.0,26.7,29.7,25.8,7.6,25.9,No Rain,84.27919276270008
Changi,2021,12,13,0.2,0.2,0.2,0.2,26.9,29.8,25.2,8.1,40.7,Rain,80.83716075156576
Changi,2021,12,14,0.0,0.0,0.0,0.0,28.0,31.7,25.8,8.9,31.5,No Rain,75.5544885177453
Changi,2021,12,15,0.6,0.6,0.6,0.6,27.9,31.9,26.0,7.5,35.2,Rain,78.24363256784969
Changi,2021,12,16,0.0,0.0,0.0,0.0,28.9,33.3,26.1,7.4,29.6,No Rain,73.35163535142658
Changi,2021,12,17,9.4,3.2,5.2,6.2,27.5,31.7,25.5,8.5,44.4,Rain,81.37947112038971
Changi,2021,12,18,46.8,39.8,41.4,41.8,27.6,31.6,24.3,5.7,24.1,Rain,81.87374651810585
Changi,2021,12,19,15.2,7.6,11.0,13.6,27.3,31.4,23.9,6.5,35.2,Rain,80.42463465553237
Changi,2021,12,20,0.0,0.0,0.0,0.0,27.6,31.9,24.9,7.3,22.2,No Rain,79.39248434237996
Changi,2021,12,21,0.0,0.0,0.0,0.0,28.2,32.0,25.8,10.3,29.6,No Rain,80.39958246346555
Changi,2021,12,22,0.0,0.0,0.0,0.0,27.9,32.4,26.3,7.9,27.8,No Rain,80.7794711203897
Changi,2021,12,23,0.4,0.2,0.4,0.4,27.4,29.9,25.9,5.4,20.4,Rain,83.33743910925539
Changi,2021,12,24,8.8,4.6,6.2,6.2,27.4,31.3,25.6,7.6,29.6,Rain,85.92205984690327
Changi,2021,12,25,1.4,1.4,1.4,1.4,27.9,31.3,26.3,11.0,35.2,Rain,80.94164345403901
Changi,2021,12,26,0.0,0.0,0.0,0.0,28.1,31.7,25.7,9.9,31.5,No Rain,79.97299930410577
Changi,2021,12,27,0.0,0.0,0.0,0.0,28.3,32.5,25.7,10.6,35.2,No Rain,75.84620737647877
Changi,2021,12,28,0.0,0.0,0.0,0.0,28.1,32.4,25.4,10.9,31.5,No Rain,75.58517745302714
Changi,2021,12,29,0.6,0.6,0.6,0.6,28.0,31.8,25.5,8.5,25.9,Rain,78.41530967292971
Changi,2021,12,30,0.0,0.0,0.0,0.0,27.9,31.0,25.8,7.7,25.9,No Rain,80.17620041753653
Changi,2021,12,31,7.0,2.6,2.8,3.0,26.1,28.4,23.8,7.1,35.2,Rain,90.00953375086988
